nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
374,49d43e2d8c9d7c1728347166918bc19ae719c6bff500df71003473ef6afba669,0,211,196,196,0,85.963208,180000.044541,1,0.9289099526066351
375,6033cc6fdec339d0a6179920b35d2f8694f114ba1f1637733c7774ec4340ce71,2,73,73,73,0,101.465292,2474.129667,0,1.0
376,aa772191ee939aa7bfec2e1f75d0f9d8a5f5b57214e9dd48b90c9e79e25d1b1a,3,67,67,67,0,86.478292,2137.903042,0,1.0
377,a3afb52a955fd41936161b23215e16ca763499597da1d698d9c2ce7ca2d7c2d1,3,67,67,67,0,154.336875,2281.304791,0,1.0
378,99e708bcb57ac779c236eb8da4d99b6020c91ac33fb589c8550599a94fbe00c6,1,105,105,105,0,75.932708,2970.704041,0,1.0
379,2ed9eda0057f6c73c6b1acdac6e95ff801ae56c6abcc2c8e23824eaf7269374c,2,73,73,73,0,146.636917,2210.909584,0,1.0
380,618620e84f92bf9e15d1d69ddccc717fb16213c88721cf62ab75f31e4e6d4798,0,211,206,206,0,94.963959,180000.07875,1,0.976303317535545
381,0e04bc3726e3b34adfbeb59bf7b4f0ebe08b2aa7aefefc2bd76f4bc5357a130e,0,211,201,201,0,98.302916,180000.046791,1,0.95260663507109
382,9641596655292b04377b3ca3549070cc32ed4bc75941a9be5d743ba085ff0c0b,1,105,102,102,0,99.12675,180000.055625,1,0.9714285714285714
383,053a9df448f0ce93d647d1a7294504e6716a421147a886400162b9cd3de8277a,1,105,104,104,0,96.013583,180000.025208,1,0.9904761904761905
384,4e79b74c0d67394059f9a6c0b740c812e52778e6189fa3e83c3d9593255dc391,0,211,176,176,0,98.204041,180000.076416,1,0.8341232227488151
385,590e866027eeb042f6d1d9fc23295a3b34c6aa3a3d904f4f771f122cad2a1979,0,211,203,203,0,99.059625,180000.04025,1,0.9620853080568721
386,da827016e678dc894a397ea6cafa8d5f9a626c2e63753e39d76d165dca7f12fc,1,105,105,105,0,91.758166,2403.302416,0,1.0
387,b41cea9c502d40f4adadc6ff2cab23ec2fd44bd8a2fdd905e2af762102edf3a2,0,211,209,209,0,167.40925,180000.087458,1,0.990521327014218
388,daad393b3311d99589bfe06e8164ccc05bb41cec022a9f874ec6f133181e11c3,4,39,39,39,0,94.99675,2164.869459,0,1.0
