nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
283,fbdd0da141d318203e6a5cb1bb3db3cd26a944458f29e7b68049b559260e65f5,2,73,73,73,0,84.140292,2045.488958,0,1.0
284,e23cacfbeb346abf965161145507e535a1be44aae4a8b88e9cccf0e22b7710ff,1,105,105,105,0,65.28175,3103.343,0,1.0
285,0d02126112bfc05c8f395b6143eb76fd50e5e3ee7a61b03a6721f54135656c2f,0,211,206,206,0,85.111042,90000.369875,1,0.976303317535545
286,77caee2c6c0b18d495580fef1165770f7ae0db6aef866c118f4e13793d9ce247,0,211,207,207,0,74.481334,90000.395959,1,0.981042654028436
287,6fd1a6f0c94338a60b6efcdbf1fb43143a35e0302812695392a455cfdcedc1d8,2,73,73,73,0,87.794667,1798.776625,0,1.0
288,d65e5cda02df9393678937c6e781c1030ceda94203f5e520aff78cac0c63799b,1,105,105,105,0,99.230958,2411.570666,0,1.0
289,cc1bf5cb94f654d6813b5b5497a693ef9a7d4249972c85da21dbfe65db315ce3,3,67,67,67,0,78.542875,2134.478,0,1.0
290,8e5399700658f2e785282513e59f2ce0664d4586a5dfa14b79211f4bc00b0eea,0,211,207,207,0,87.948958,90000.404625,1,0.981042654028436
291,40cfafeede1fc095bc9d5d25dc849fff95e8c83b3a9d1746834433243af2931c,2,73,73,73,0,96.167708,1505.612958,0,1.0
292,f9de9e76dba7fa808ba2abaea4ce203c8fa3265569c3689643c2768dbf35578d,1,105,105,105,0,84.532709,2409.621625,0,1.0
293,58972a879a2e174bd8ec91354d2f42a31e75e1b2b2195c3e84ae59446ff1ea19,0,211,199,199,0,80.502541,90000.252375,1,0.943127962085308
294,52c39db0a9db51f4075b32bea25e9a3e943fbec6659afd066e1ced25bdb6f55c,4,39,39,39,0,88.860041,1305.465083,0,1.0
295,eed2f6da03898986696ef8d879aa9a69d88f070cdf27b79ad334555968d5bd90,2,73,73,73,0,81.315333,2214.928125,0,1.0
296,8c23abe2912668edd92b13fa2b3fed4d878c6ba850cbbfb791cbe3a6eff10b9f,0,211,203,203,0,97.499916,90000.254291,1,0.9620853080568721
297,6bb2383b0e6a179e7acd26b8f9d0ba6b355fa1189ec4ecc3fdf0f5db7b8a41f3,0,211,197,197,0,86.720041,90000.2195,1,0.933649289099526
298,db550ac5f2a4ccd6108a29b6e9a4df7d2829c768d5da2abc07bd41c1c78c2c71,0,211,205,205,0,87.5875,90000.212125,1,0.9715639810426541
299,d61b2807801523b399d7f671ab1dcb0892faa48417c4a96773a6c147c2043016,3,67,67,67,0,86.260208,1305.853583,0,1.0
300,0f65023402f312f27ff4ddac09ff308e8a493cefcd1d552982778f8c012c2d0c,2,73,73,73,0,84.801833,2080.147083,0,1.0
301,2c532385a5aa58074305c1018fbdabada0019dcbfdebe1a8dbc0adc96e3f4865,0,211,205,205,0,92.15075,90000.088792,1,0.9715639810426541
302,61d38d66b7be582ca1ed548b5118e78df9af1d2e21f75308e84a7a34833e8a19,0,211,205,205,0,95.086292,90000.042625,1,0.9715639810426541
303,bc53a7d0a8ce901b259fbe7fd8549ee795fc451d91c4b00d527cbe8d5a00e9c0,0,211,205,205,0,94.100875,90000.025125,1,0.9715639810426541
304,b681edeea49cf61f9777250eccf2f32b80770c56fa8d18f4f6805e3e6a269ffa,1,105,104,104,0,82.217583,90000.026583,1,0.9904761904761905
305,525837611c1a0fd59fadd3ef2378ef16684e89ea871a30e797ece719b3df00f9,0,211,207,207,0,80.815041,90000.005166,1,0.981042654028436
306,ad87db223939ca37ca76cd6e67ae880a4fe6ffe3e710cddadb74b785277af7ad,1,105,105,105,0,86.095583,2516.141333,0,1.0
